id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
2470549,MALTESE HOUSE OF CHARACTER IN SLIEMA(11+ guests),12634976,Malcolm,,Gzira,35.90887,14.49707,Entire home/apt,180,3,129,9,2020-08-16,9,340
23179884,LET ME HOST - DANEL COURT-APP 2-,125238922,Med Malta,,Gzira,35.90897,14.493,Entire home/apt,100,2,1,0,2019-05-02,40,66
12280404,1 min to Sea Penthouse,51631468,,,Gzira,35.90948,14.49366,Private room,55,2,0,0,,3,178
10582115,Apartment near Sliema Ferries,6269293,Bridget,,Gzira,35.90772,14.49781,Entire home/apt,85,1,2,0,2016-07-31,9,0
32774436,let me host Malta Moroni 101 f10 Sliema,188116808,Barbara,,Gzira,35.90859,14.49598,Entire home/apt,63,1,1,0,2019-04-06,19,212
20954456,"Off the Strand, New, Gzira  2-Bedroom Apartment",1774894,Short Lets Malta,,Gzira,35.90784,14.49578,Entire home/apt,97,7,2,2,2020-07-15,132,351
21001211,Contemporary 2-bedroom apartment,1774894,Short Lets Malta,,Gzira,35.90694,14.49568,Entire home/apt,90,7,0,0,,132,360
26864788,let me host malta rue d-argens flat 4,188116808,Barbara,,Gzira,35.90599,14.49215,Entire home/apt,71,3,7,0,2019-04-14,19,32
25901245,NEW Modern 3 Bedroom entire Apartment,158837995,Mdj,,Gzira,35.90812,14.49763,Entire home/apt,70,3,8,2,2020-08-13,3,97
13763722,Spacious 3 bedroom Apartment steps from Sliema,5876109,Maria,,Gzira,35.90736,14.49419,Entire home/apt,70,2,111,10,2020-02-25,13,362
42563358,Brand New Designed Apartment Sleeps 8 Gzira/Sliema,134052378,Joanne,,Gzira,35.90585,14.48925,Entire home/apt,75,5,1,1,2020-08-22,2,364
11538704,Central Msida 1 Bedroom Flat,57648057,Riann,,Gzira,35.90176,14.48908,Entire home/apt,55,3,41,0,2019-09-13,1,298
41525403,"Sliema, Villa Savoia Luxury Apartment for 5 Guests",327053716,Eleonora,,Gzira,35.90892,14.4939,Entire home/apt,79,3,6,6,2020-10-09,1,344
23119291,Modern compact 3 Bedroom Apartment,158837995,Mdj,,Gzira,35.90838,14.49641,Entire home/apt,65,3,4,0,2019-08-24,3,180
38857120,Friends from around the world-,118448504,Joyce,,Gzira,35.90228,14.49512,Private room,23,4,0,0,,1,214
14878525,Savoy Gardens Gzira 1 Bedroom Apartment,1218900,Michael,,Gzira,35.90645,14.49342,Entire home/apt,60,28,23,2,2020-07-18,9,88
42774278,Double room close to Uni and Sliema Waterfront,18827990,Caroline,,Gzira,35.90397,14.49268,Private room,21,3,2,2,2020-08-22,2,309
33336810,Spacious room with 3 beds close to Sliema/Valletta,244042278,Sasha,,Gzira,35.90484,14.48897,Private room,75,1,4,0,2019-08-17,4,174
26869165,let me host malta flat2,188116808,Barbara,,Gzira,35.90656,14.4943,Entire home/apt,72,3,6,0,2019-08-11,19,32
43393154,Off the promenade Gzira 2-bedroom Apartment,1774894,Short Lets Malta,,Gzira,35.90604,14.49511,Entire home/apt,178,2,1,1,2020-08-29,132,218
23689267,Sea Front with Panoramic Views,1483790,Mariella,,Gzira,35.90648,14.49673,Entire home/apt,100,3,57,10,2020-08-22,5,305
32773792,Apartment in sliema,188116808,Barbara,,Gzira,35.90801,14.49743,Entire home/apt,63,1,0,0,,19,234
25134035,"Rainbow Duplex penthouse ,2 bedrooms sleeping 6",7494364,Jordan,,Gzira,35.90822,14.49696,Entire home/apt,100,4,1,0,2018-08-02,3,0
26388880,Pilgrim's Rest Apartment (4),166913290,Henry,,Gzira,35.90456,14.49501,Entire home/apt,75,2,10,0,2019-08-28,3,364
16343634,BBA001 STUDIO INLAND APARTMENT,9190357,Mondosol,,Gzira,35.90791,14.49543,Entire home/apt,66,1,9,0,2017-08-07,13,6
22634509,Unique studio Apartments,589735,TwoRoom,,Gzira,35.90827,14.4943,Entire home/apt,70,2,6,0,2019-08-22,5,254
44091081,"3 Bedroom Apartment, Portomaso Marina - Long Let",5876109,Maria,,Gzira,35.90841,14.49471,Entire home/apt,150,180,0,0,,13,364
32639274,let me host Malta Moroni 101 penthouse 11 Sliema,188116808,Barbara,,Gzira,35.90817,14.49811,Entire home/apt,63,1,0,0,,19,249
23177108,LET ME HOST - DANEL COURT-ATTICO-,125238922,Med Malta,,Gzira,35.9074,14.49218,Entire home/apt,90,2,3,1,2020-08-18,40,278
41493762,Cozy Apartment for 4 - in the best Area in Sliema,3424829,Mina,,Gzira,35.90816,14.49547,Entire home/apt,40,2,0,0,,13,352
26251194,JOHNNY M YACHT CAB1,112048654,Alfonso,,Gzira,35.90278,14.49558,Private room,50,2,6,1,2020-02-05,4,364
28361501,"294,CARMEN ,Rue D'Agens Gzira",185316452,Theresa,,Gzira,35.90662,14.494,Private room,160,1,0,0,,4,365
28422213,"'CARMEN' 294, Ft 2 RUE D'ARGENS Str,GZIRA",185316452,Theresa,,Gzira,35.90473,14.49436,Private room,159,2,0,0,,4,365
35298491,Large room with private bathroom,265758040,Nikola,,Gzira,35.90853,14.4943,Private room,55,3,4,0,2019-09-03,2,179
27674082,Il-Gżira Daire,200126322,Besim Köksal,,Gzira,35.90487,14.49007,Private room,50,3,0,0,,2,363
12300103,Spacious double room near all amenities,41877265,Marco,,Gzira,35.90319,14.49142,Private room,16,3,9,0,2018-08-26,3,359
31218820,Gzira townhouse close to the sea,159722793,Kristina,,Gzira,35.90598,14.49449,Entire home/apt,30,20,2,2,2020-08-29,2,59
45294264,Modern & Spacious Maisonette,366060195,Glenn,,Gzira,35.90279,14.49168,Entire home/apt,21,28,0,0,,1,220
32281419,"Modern Apt, 10min walk to Promenade/Sliema Ferries",242270177,Lara,,Gzira,35.90514,14.49296,Entire home/apt,80,30,22,9,2019-12-23,1,0
29751930,Beautiful and cosy apartment in Gzira,89401630,Race,,Gzira,35.90645,14.49493,Entire home/apt,34,2,50,22,2020-10-21,1,63
24558535,"Modern 3 bedroom apartment, close to amenities",47883211,Roberta,,Gzira,35.906,14.48925,Entire home/apt,50,1,33,6,2020-08-21,1,90
25361895,Sliema Central Apt.N 7  - sleeps 8,59871645,Jeffrey,,Gzira,35.90912,14.49634,Entire home/apt,30,3,51,11,2020-09-15,10,61
21780564,Micro unique studio-apartment,589735,TwoRoom,,Gzira,35.90884,14.49438,Entire home/apt,28,2,63,13,2020-10-23,5,292
35887251,The Wedge Duplex Penthouse Balluta - Terrace Views,78455427,Jean-Pierre,,Gzira,35.90894,14.49362,Entire home/apt,63,3,37,32,2020-10-24,2,300
13501297,Ensuite room near Ferries between Sliema and Gzira,57528360,Eugenio & Valentina,,Gzira,35.90834,14.49686,Private room,66,3,31,0,2019-09-17,21,57
35727956,"Spacious, brand new 3 Double bedroom in Gzira",46636826,Savior,,Gzira,35.90751,14.49322,Entire home/apt,160,5,8,0,2019-10-15,1,0
17698825,Newly Refurbished Boutique Style Apartment,94458071,Elka,,Gzira,35.9022,14.49094,Entire home/apt,25,7,81,9,2020-03-13,1,307
37075165,Whole Apartment with Backyard very Central Located,201634562,Tayfun,,Gzira,35.9061,14.49625,Entire home/apt,65,2,24,14,2020-08-20,1,0
35179259,Extremely Beautiful brand new seaside penthouse,58363592,Dima & Biba,,Gzira,35.9063,14.49297,Entire home/apt,41,3,35,18,2020-09-25,2,344
13833878,3 Bedroom Apartment near the Sea and Valletta -6p.,57528360,Eugenio & Valentina,,Gzira,35.90807,14.49686,Entire home/apt,60,3,28,11,2020-10-10,21,107
35113528,Best for Vacation,167891692,Ahmet,,Gzira,35.90874,14.49418,Private room,25,1,2,0,2019-07-03,2,363
27929321,The Gzira Penthouse,210970352,Ann,,Gzira,35.90723,14.49054,Entire home/apt,94,4,30,0,2019-10-24,4,0
19188481,Charming boutique apartment,115627928,Rita,,Gzira,35.90781,14.49546,Private room,41,1,72,5,2020-09-30,1,364
34075186,"New, Quirky & Bright Penthouse w/ Terrace in Gzira",10117437,Dirk,,Gzira,35.90795,14.49082,Entire home/apt,45,3,31,12,2020-10-11,1,256
19547061,New lovely penthouse with nice seafront view,137303268,Becky,,Gzira,35.90592,14.49698,Entire home/apt,43,2,55,14,2020-08-16,1,213
42265728,Luxury Room in a new Boutique Guesthouse in Gzira,228187161,Gary,,Gzira,35.90462,14.49069,Private room,45,2,4,4,2020-07-28,15,361
19505173,(R3) Spacious luxury Double Bed& private bathroom,45495911,Stephen,,Gzira,35.90645,14.49221,Private room,72,2,34,3,2019-12-19,5,83
13108674,Single bedroom+Private bathroom in Malta Townhouse,12103762,Grace,,Gzira,35.90434,14.49242,Private room,11,1,98,7,2020-08-29,3,148
424572,Clean & Comfortable 2 Bedroom Apt,1188556,Catherine,,Gzira,35.90336,14.49134,Private room,32,3,8,0,2013-07-10,2,0
12724249,Shared Room - Very Central,27803372,Jaycee,,Gzira,35.90901,14.4955,Shared room,20,1,1,0,2016-05-18,18,364
45324586,Private room close to Sliema and Valletta,244042278,Sasha,,Gzira,35.90428,14.48849,Private room,50,1,0,0,,4,359
19814891,Sunny 2-bedroom Penthouse,98282669,Short Lets,,Gzira,35.90726,14.49475,Entire home/apt,111,4,0,0,,18,324
19217124,Contemporary & Centrally located Gzira 3-bedroom,1774894,Short Lets Malta,,Gzira,35.90716,14.49474,Entire home/apt,99,7,6,0,2019-08-30,132,365
20719422,New Gzira 3-bedroom Apartment,98282669,Short Lets,,Gzira,35.90611,14.49512,Entire home/apt,100,4,2,0,2019-05-04,18,360
17206213,Deluxe Apartment for 7 Near the Sea and Valletta,57528360,Eugenio & Valentina,,Gzira,35.90834,14.49683,Entire home/apt,141,3,17,5,2020-03-22,21,0
17206651,Sweet Twin Room 3 min walk from Sliema Ferry,57528360,Eugenio & Valentina,,Gzira,35.90829,14.4969,Private room,60,3,28,8,2020-02-28,21,0
17205757,Superior Apartment for 7 near Sliema Ferry,57528360,Eugenio & Valentina,,Gzira,35.90839,14.4969,Entire home/apt,141,3,5,5,2020-02-29,21,0
21242207,"LUX, Bright, Central - Malteza Stay 2",38780153,Annette,,Gzira,35.90859,14.49222,Entire home/apt,87,3,84,9,2020-03-08,2,0
17441124,Big 2 Bedroom + private bathroom central area,35935626,Laura,,Gzira,35.90549,14.49293,Private room,28,2,86,13,2020-03-13,1,72
44291356,Private Room at Gzira,330339176,Cbm,,Gzira,35.90702,14.49822,Private room,18,5,0,0,,10,365
35083145,Island Guesthouse and Suites,264274060,Adrian,,Gzira,35.90715,14.49572,Private room,55,1,3,3,2020-09-20,2,364
17131582,"New, Seaside bedroom, Private bathroom, in Gzira",90571279,Chris & Vanessa,,Gzira,35.9045,14.49631,Private room,74,3,85,14,2020-03-05,18,178
19584329,(R2) Luxury bedroom Center Gzira private bathroom,45495911,Stephen,,Gzira,35.90632,14.4927,Private room,72,2,27,0,2018-06-09,5,83
13271352,(R1) Luxury bedroom With private bathroom,45495911,Stephen,,Gzira,35.90568,14.49217,Private room,72,2,18,0,2018-10-13,5,83
11129681,Private DBL bedroom close to Sliema & Uni,18827990,Caroline,,Gzira,35.90383,14.49424,Private room,18,3,25,3,2020-10-06,2,364
43768635,Cozy spacious air-conditioned bedroom,253380352,Milan,,Gzira,35.90084,14.48894,Private room,25,3,1,1,2020-08-10,2,365
30442810,(R4) Big Room Ultra Modern with private bathroom,45495911,Stephen,,Gzira,35.90696,14.49351,Private room,72,2,0,0,,5,83
8168092,"Light and airy,  Double room in the centre of Town",17440020,Fiona,,Gzira,35.90553,14.492,Private room,45,4,2,0,2018-08-22,3,0
32423816,"Budget, Central, Private Single Bedroom (4)",214138893,Lisa,,Gzira,35.90144,14.49053,Private room,15,2,6,2,2020-08-22,19,364
19846478,"brand new flat, two single beds!",71293851,Maria,,Gzira,35.90571,14.49027,Private room,35,3,4,0,2019-10-03,4,144
9359573,"Flat in Sliema, very conveniently located",48570150,Lilita,,Gzira,35.90857,14.49737,Entire home/apt,79,4,14,0,2019-07-06,1,23
36228241,Modern Spacious House close to Sliema seafront,194923427,Daniella,,Gzira,35.90783,14.49721,Entire home/apt,130,2,13,4,2020-01-09,1,267
23824714,Modern 2 bedroom apartment in Gzira,178840908,Alison,,Gzira,35.90758,14.49399,Entire home/apt,129,2,56,13,2020-04-26,1,178
42657656,URBAN ROOMS DELUXE ROOM,6269293,Bridget,,Gzira,35.9085,14.49663,Private room,77,30,0,0,,9,149
44728166,"Private room, In traditional Maltese Building!",6819852,Mark,,Gzira,35.90448,14.49445,Private room,40,2,1,1,2020-09-07,5,364
18732829,Apartment close to Sliema and Paceville,15990808,Claud,,Gzira,35.90685,14.49327,Entire home/apt,136,1,19,0,2019-10-23,2,218
42335178,"Gzira, Cute 1 double bedroom apartment",336659126,Charmaine,,Gzira,35.90294,14.49098,Entire home/apt,40,1,0,0,,2,329
41956374,"Sleeps up to 10 persons, steps from Sliema",5876109,Maria,,Gzira,35.90837,14.49312,Entire home/apt,70,2,3,3,2020-09-21,13,362
12919532,Savoy Terrace Penthouse Suite,15990808,Claud,,Gzira,35.9088,14.49382,Entire home/apt,96,1,21,2,2020-01-01,2,354
35087256,New Modern 2 bedroom flat close to Sliema center,6158728,Ian,,Gzira,35.90561,14.49509,Entire home/apt,75,8,0,0,,27,364
41967191,Private Room with Private bathroom at Gzira,330339176,Cbm,,Gzira,35.90851,14.49586,Private room,18,3,2,2,2020-09-21,10,120
7798161,Bright apartment in Gzira/Sliema,41044843,Charlotte,,Gzira,35.90796,14.49787,Entire home/apt,67,10,20,0,2019-09-23,1,85
42361417,Gran Melita: an everlasting adventure,650935,Giovanni,,Gzira,35.90184,14.4931,Entire home/apt,49,1,0,0,,1,364
9912963,Large Private Room with yard,27803372,Jaycee,,Gzira,35.90904,14.49559,Private room,70,3,2,0,2016-08-18,18,365
3348778,Apartment close to Sliema centre!,6269293,Bridget,,Gzira,35.90802,14.49819,Entire home/apt,65,1,65,0,2018-07-12,9,0
39246500,GZR0004-06,13789530,Matthew & Darren,,Gzira,35.90787,14.49525,Entire home/apt,29,2,2,2,2020-09-28,10,17
39246504,GZR0004-07,300890641,Ximena,,Gzira,35.90508,14.49586,Entire home/apt,28,2,5,5,2020-08-29,3,20
26491279,Garden view,197692677,Rudolph,,Gzira,35.9067,14.4941,Private room,75,30,0,0,,1,365
12970850,central Gzira-Sliema twin room private bathroom,68720913,Alejandro,,Gzira,35.90889,14.49338,Private room,40,2,11,0,2016-10-30,2,218
32684921,Modern room in apartment close to Valletta&Sliema,244042278,Sasha,,Gzira,35.90564,14.49004,Private room,50,1,1,0,2019-04-21,4,174
13535100,Modern Apartment close to Public Transport and Sea,77841278,Philip,,Gzira,35.90367,14.49294,Entire home/apt,128,3,89,5,2020-08-06,1,365
19792299,Roomy & Central 2-bedroom Apartment,98282669,Short Lets,,Gzira,35.90796,14.49529,Entire home/apt,132,7,2,0,2018-08-24,18,210
20703839,Off the Strand 3-bedroom Apartment,98282669,Short Lets,,Gzira,35.90609,14.49512,Entire home/apt,100,7,4,0,2019-08-23,18,360
32606202,let me host Malta Moroni 101 penthouse 12 Sliema,188116808,Barbara,,Gzira,35.90813,14.49751,Entire home/apt,70,1,2,1,2020-08-29,19,184
19794103,Bright and Spacious 3-Bedroom Apartment,1774894,Short Lets Malta,,Gzira,35.90725,14.49475,Entire home/apt,99,7,7,4,2020-08-22,132,365
31729606,"Gzira, near university, own Apt with large terrace",14828799,Paul,,Gzira,35.90654,14.49576,Entire home/apt,60,7,4,4,2020-08-28,2,178
41967445,3 Bedrooms apartment a Gzira,330339176,Cbm,,Gzira,35.90736,14.49786,Entire home/apt,70,4,1,1,2020-08-09,10,180
5681210,"Central, Bright and Very Modern",29454006,Stanley,,Gzira,35.90892,14.49678,Entire home/apt,50,3,169,9,2020-08-19,1,365
